Sun
Mon,HIIT,Dance it Out & Conditioning,Boot Kickin Barre,Wet Workout,Tae Bo,Spin,Total Body Challenge,Zumba
Tue,Spin,Total Body Challenge,Zumba,Mat Pilates
Wed,HIIT,Dance it Out & Conditioning,Tae Bo,Spin,Zumba
Thu,Boot Kickin Barre,Spin,Total Body Challenge,Mat Pilates
Fri,HIIT,Wet Workout,Zumba
Sat,Spin
